units,people,daily_hours,appliances,previous_units,bill
267.5,3,5.6,10,251.5,1710
457.2,3,7.1,9,351.1,3084
332.5,1,5.9,6,246.6,2137
770.4,7,6.0,17,637.4,6045
711.9,6,7.2,12,566.7,5465
498.6,5,5.8,12,484.8,3279
604.4,4,6.8,9,481.1,4580
221.0,2,3.3,6,169.6,1195
658.6,6,8.0,12,520.2,5012
551.9,6,7.5,14,530.6,3928
379.3,3,5.7,7,367.3,2487
800.0,7,9.0,18,700.0,6414
332.2,1,9.6,3,277.9,1984
284.0,1,4.0,5,241.4,1686
459.9,4,5.8,9,328.0,3010
535.9,3,5.8,12,475.2,3745
512.9,6,5.4,13,607.6,3435
680.8,5,9.3,14,601.3,5164
373.7,3,7.1,5,420.3,2409
414.1,4,6.9,11,345.4,2623
324.6,4,3.1,12,350.8,1886
420.9,3,8.9,9,362.7,2828
410.6,4,4.8,13,461.6,2681
377.2,3,7.6,7,298.6,2584
343.5,2,8.1,11,409.6,2326
697.4,3,10.5,14,567.3,5379
782.6,7,4.6,14,604.4,6234
361.7,3,2.0,7,270.6,2302
455.4,4,7.9,14,435.9,3086
800.0,7,11.5,18,690.7,6365
590.1,4,10.2,9,540.8,4364
274.5,1,8.0,4,279.2,1625
253.8,1,6.4,5,218.4,1464
504.1,7,9.3,11,591.0,3562
166.9,2,5.4,5,135.0,879
207.8,1,8.5,3,176.0,1136
509.7,3,8.6,7,479.1,3561
406.6,4,9.8,10,406.6,2755
475.7,1,13.6,6,371.7,3232
559.1,1,8.4,9,358.9,4107
174.9,2,6.4,5,195.8,871
725.6,7,7.4,17,663.1,5654
733.9,7,3.6,14,599.5,5693
563.6,6,6.0,13,534.2,4036
521.3,2,6.6,9,474.6,3615
154.1,3,6.3,6,229.5,1000
800.0,7,7.8,15,694.3,6349
397.6,4,5.7,10,392.9,2776
344.4,2,10.0,8,407.8,2240
258.1,1,7.5,6,276.3,1547
636.5,4,7.5,16,466.3,4857
551.8,4,6.8,8,410.6,4123
221.9,1,7.8,4,132.0,1234
357.6,2,9.3,5,350.9,2213
227.6,1,5.6,4,210.1,1259
686.9,6,6.1,11,546.1,5268
666.9,4,6.8,13,517.2,4972
634.8,5,4.5,15,506.9,4768
498.9,5,5.7,10,455.7,3552
320.2,3,6.5,6,274.7,1969
632.6,7,9.4,16,637.5,4789
338.3,1,8.1,4,303.7,2070
393.8,1,7.9,7,350.7,2646
509.9,3,9.4,9,398.6,3519
393.0,3,7.2,5,327.1,2685
489.8,3,8.4,12,379.7,3539
639.0,4,7.3,14,543.4,4852
594.0,6,8.1,11,584.1,4389
248.9,1,6.2,5,323.7,1533
428.2,4,2.1,11,302.1,2896
457.3,3,7.2,9,351.9,3049
304.5,1,10.6,7,333.1,1849
745.6,4,9.5,15,567.2,5809
800.0,6,9.6,13,587.4,6447
529.8,4,10.2,8,411.9,3821
705.1,6,7.7,10,577.0,5362
601.8,3,7.9,7,401.5,4407
555.7,6,6.1,13,486.1,3912
446.1,1,6.8,10,362.0,2953
474.6,3,8.9,7,442.7,3293
434.7,1,10.1,6,307.1,2887
494.6,5,7.2,11,490.9,3402
441.2,2,6.5,10,357.6,2857
571.4,6,7.5,19,585.6,4224
357.8,2,8.8,6,322.5,2291
97.5,2,4.3,6,121.4,441
689.9,6,2.4,16,554.3,5268
314.2,3,6.3,10,282.3,1944
504.5,5,4.8,16,586.3,3455
335.4,1,6.4,7,225.7,1984
412.2,4,7.2,9,405.5,2862
218.2,1,6.5,7,211.5,1238
585.6,4,10.7,13,512.7,4344
438.5,1,8.2,8,367.0,3028
401.4,6,8.2,14,448.1,2937
682.4,5,8.9,14,622.9,5187
451.2,4,5.0,13,444.5,3085
800.0,7,9.8,18,640.8,6400
477.3,3,7.3,10,327.9,3239
341.9,1,9.0,5,358.8,2109
179.1,1,5.1,6,157.6,934
326.6,4,4.1,13,346.0,2021
445.0,3,9.3,6,436.9,2909
420.4,3,8.3,9,411.5,2883
450.8,6,5.5,12,461.7,3054
587.9,7,5.6,15,607.5,4353
684.5,6,10.0,16,585.2,5287
626.5,6,4.9,13,574.4,4652
707.3,6,11.1,13,684.4,5556
670.9,6,5.5,10,518.6,5017
757.6,6,8.9,15,630.2,5985
695.4,5,6.8,13,599.9,5309
627.3,3,8.8,14,461.9,4677
474.4,6,6.3,12,462.5,3105
456.8,3,7.1,9,396.3,3195
557.8,3,7.6,9,494.4,3972
312.9,2,5.3,11,261.5,1996
578.5,5,9.1,11,501.5,4327
580.6,6,6.4,14,575.6,4167
302.2,1,7.0,7,252.0,1747
404.2,4,5.3,10,341.6,2834
699.6,7,2.0,13,568.7,5475
287.4,1,7.1,6,372.0,1718
666.7,5,12.8,14,634.3,5187
553.3,4,9.2,7,380.3,3940
481.0,5,7.5,12,418.0,3350
465.4,3,6.9,7,357.8,3106
668.8,4,7.5,13,532.6,4978
411.3,3,8.7,5,377.8,2631
77.0,1,4.9,4,181.1,405
315.4,1,10.0,6,263.7,1881
538.0,4,9.1,14,451.3,3871
538.6,4,9.1,10,509.4,3782
701.0,6,8.5,12,616.6,5383
616.8,5,7.5,16,467.8,4693
774.6,6,9.0,9,627.1,6157
471.7,5,8.8,6,487.0,3224
755.9,6,6.7,14,636.0,6022
267.8,3,6.2,7,257.5,1626
407.3,4,7.7,7,327.9,2793
413.7,1,10.9,7,317.1,2749
516.1,5,4.8,12,482.6,3570
638.6,5,4.3,10,520.7,4679
250.9,1,7.9,2,249.4,1445
755.1,6,7.6,15,573.7,6038
444.4,5,7.9,13,466.4,3123
670.3,7,8.0,14,695.3,5214
376.6,3,7.0,13,364.1,2342
653.9,4,10.8,7,547.6,5054
119.9,1,4.0,2,125.0,472
525.5,4,5.7,8,465.7,3741
772.1,7,7.3,14,651.3,6099
448.4,5,3.9,12,431.4,3060
599.4,5,7.1,11,456.5,4337
785.1,7,11.2,15,677.0,6385
331.8,1,7.5,2,228.4,1939
389.6,3,8.0,12,427.4,2533
257.3,2,4.7,7,226.4,1438
234.1,1,6.1,8,242.5,1262
348.0,2,6.7,8,310.5,2206
614.9,7,6.8,16,512.3,4733
673.2,6,10.3,14,649.0,5389
399.0,2,8.7,8,289.2,2648
306.1,3,5.1,10,282.6,1928
738.6,6,8.0,16,514.0,5838
203.1,2,8.6,7,230.1,1246
663.9,7,10.0,16,612.6,5096
727.5,6,11.0,13,584.6,5745
748.7,7,5.3,18,700.0,5936
306.8,2,5.7,5,224.0,1793
654.4,7,4.7,19,638.0,4978
505.4,3,7.0,8,378.8,3494
237.7,2,8.5,3,286.7,1464
449.5,2,9.7,7,343.8,2985
232.6,2,7.3,5,216.3,1367
458.1,1,6.8,8,343.1,3235
302.4,1,7.8,4,333.4,1898
130.1,1,5.7,4,102.4,791
307.0,3,12.1,4,344.4,1907
498.0,6,4.0,12,469.9,3440
648.5,7,7.9,8,500.3,4968
583.9,5,12.0,8,564.0,4428
407.7,2,7.5,9,293.2,2567
763.1,7,7.1,16,700.0,5956
348.7,2,6.7,8,372.3,2298
407.3,3,7.1,6,346.5,2658
601.4,2,10.5,7,419.8,4419
233.6,1,2.6,5,213.2,1233
655.5,5,10.9,9,497.7,4968
505.1,4,4.4,14,381.7,3402
505.0,2,6.9,9,326.7,3646
623.5,7,6.6,14,648.4,4673
289.0,1,8.8,6,283.0,1747
265.9,4,4.0,11,297.0,1618
345.1,5,8.5,6,406.1,2253
605.1,4,12.0,9,499.1,4598
157.0,1,4.5,4,169.9,928
696.8,6,7.9,10,641.0,5334
523.6,6,6.0,12,446.6,3667
735.4,4,8.4,14,527.7,5836
598.5,3,7.5,10,472.7,4383
800.0,7,6.1,13,700.0,6375
800.0,7,8.6,16,639.1,6451
650.1,4,11.5,13,569.5,5041
441.9,2,7.1,9,356.8,2854
443.6,2,9.1,7,348.3,3054
799.2,7,4.7,13,549.3,6334
697.6,7,5.4,16,628.1,5441
528.4,6,8.5,14,452.4,3830
443.9,3,10.8,11,498.3,3163
329.1,1,8.3,7,285.0,2153
528.0,2,6.8,10,320.4,3822
705.2,7,7.5,13,700.0,5573
659.5,6,4.7,16,510.4,5035
523.2,5,8.8,12,505.8,3720
800.0,6,9.4,18,700.0,6507
201.5,2,6.5,5,221.3,1216
264.9,2,6.5,11,308.1,1579
655.2,6,8.1,13,563.4,5023
283.3,1,6.5,4,256.9,1674
350.7,4,7.4,9,431.8,2176
291.5,2,12.1,6,309.1,1897
601.3,6,7.0,14,533.9,4468
661.4,7,6.7,16,594.4,5200
714.3,6,6.1,12,519.1,5424
376.7,3,9.1,8,418.9,2425
702.3,4,7.1,15,510.8,5454
512.9,5,6.1,16,428.6,3688
402.5,1,10.4,7,374.8,2712
600.5,5,10.6,12,574.1,4510
510.7,4,6.2,10,487.4,3473
542.9,4,3.4,12,409.5,3762
636.2,4,9.7,7,499.5,4817
458.7,5,6.0,11,490.5,3019
696.5,7,9.2,10,675.4,5354
433.4,4,3.2,11,397.7,2909
800.0,6,9.5,15,615.0,6359
586.6,5,4.8,10,557.0,4385
432.6,4,9.1,14,560.8,3042
573.1,6,7.5,10,557.1,4064
538.8,7,5.4,11,474.0,3756
219.1,3,6.6,9,291.0,1141
539.6,7,9.0,17,697.3,3854
644.5,4,7.7,14,495.2,4947
486.8,5,8.8,10,469.4,3343
415.1,2,11.8,10,431.0,2854
505.4,4,4.1,10,460.4,3369
522.5,2,11.1,7,411.3,3763
694.7,6,7.7,15,526.4,5347
482.2,3,5.5,10,348.3,3296
75.1,1,4.6,2,107.0,373
581.2,7,7.1,18,637.2,4206
463.4,3,9.5,12,427.7,3120
430.7,4,7.2,8,379.7,2950
363.5,2,10.8,8,311.8,2404
705.6,7,4.3,16,577.5,5529
316.0,2,7.5,8,289.7,1970
287.9,5,4.7,10,269.3,1730
475.4,2,8.3,5,412.3,3122
537.3,5,9.5,11,587.0,3837
569.9,6,6.6,16,559.6,4165
642.9,7,2.0,16,544.0,4957
565.8,7,7.9,14,561.4,4180
543.4,1,8.5,7,374.6,3986
539.7,4,8.4,3,471.4,3860
618.3,5,10.2,14,585.6,4619
141.4,1,5.1,2,217.9,758
376.8,2,9.0,6,333.6,2468
242.4,2,10.1,4,246.7,1395
86.1,1,3.6,2,110.9,386
800.0,7,8.2,17,673.9,6410
234.3,2,6.4,6,252.0,1489
629.5,6,7.3,14,557.7,4596
667.8,6,8.3,13,569.7,5204
244.8,1,6.4,7,240.3,1384
598.4,5,6.0,12,480.1,4317
359.5,5,7.6,8,399.0,2387
315.6,1,5.1,8,193.5,1967
340.9,5,5.1,10,366.3,2223
719.9,7,9.0,11,662.7,5677
599.2,7,5.0,13,444.7,4558
752.1,5,9.0,15,629.8,5996
800.0,6,8.5,15,679.6,6406
354.8,5,3.7,11,407.0,2261
563.1,7,6.0,14,448.0,4170
544.9,3,10.1,8,393.4,3865
435.7,4,5.3,15,452.6,2897
197.2,2,6.5,8,247.0,1133
546.9,3,8.5,10,380.0,3784
637.8,5,9.2,14,643.2,4856
581.7,6,6.9,14,599.6,4142
64.8,1,6.2,5,165.5,379
486.8,5,10.6,11,460.5,3460
678.9,6,11.3,13,611.9,5230
571.6,4,9.7,10,462.0,4302
627.5,5,7.7,13,546.7,4619
628.1,7,5.7,15,568.6,4799
316.4,1,5.7,7,259.2,1970
800.0,6,8.6,13,688.1,6286
673.5,6,8.4,13,622.4,5366
743.7,6,10.6,8,553.9,5849
557.8,4,8.9,12,474.7,3993
522.8,5,4.2,12,424.9,3559
572.0,4,9.8,12,565.6,4187
50.0,2,5.3,2,175.0,277
448.6,2,6.7,12,356.3,3053
657.6,5,8.1,11,504.7,4985
800.0,7,11.9,17,700.0,6513
464.5,4,14.0,7,440.5,3207
393.7,1,8.8,7,305.8,2457
419.5,6,7.1,10,514.4,2790
800.0,6,8.7,11,585.7,6229
611.4,5,9.5,16,557.8,4629
736.3,7,6.8,14,672.4,5703
414.7,2,11.4,8,343.9,2814
572.4,2,8.0,9,436.3,4259
621.0,6,8.6,14,496.6,4609
625.7,5,9.0,12,554.3,4788
517.1,4,8.4,11,489.8,3617
588.7,2,9.3,13,370.5,4487
474.3,4,6.1,10,433.9,3212
800.0,7,6.3,15,678.3,6331
187.8,2,5.1,10,179.5,1139
555.3,2,8.5,10,390.1,3981
385.2,3,9.2,11,295.7,2494
381.9,2,8.5,9,298.0,2471
388.2,1,11.2,3,371.9,2549
531.5,5,7.5,16,519.8,3899
285.5,5,9.0,9,429.9,1614
499.9,4,5.1,11,392.9,3442
752.5,7,6.6,13,700.0,5965
376.1,2,9.0,7,235.8,2465
283.3,1,9.4,6,227.8,1814
470.9,4,6.9,11,517.7,3219
515.3,3,7.3,10,489.3,3597
452.0,4,4.2,14,417.2,3097
347.2,4,6.7,11,364.7,2219
581.9,2,9.5,6,447.5,4231
661.6,3,8.8,11,512.5,5089
614.1,4,8.6,13,528.2,4557
105.7,1,7.6,2,161.3,511
317.6,1,7.5,7,261.6,1918
701.4,5,6.0,13,481.0,5513
430.4,3,9.0,8,411.9,2676
650.9,3,8.4,12,510.5,4979
631.8,5,8.6,11,559.9,4764
363.7,4,6.3,10,354.9,2219
497.9,3,2.8,8,356.4,3400
378.9,1,9.9,6,312.7,2512
233.7,1,6.4,3,234.8,1397
344.1,2,5.6,3,307.5,1939
337.1,3,9.0,12,380.3,2258
382.7,4,6.6,8,393.5,2431
610.0,5,9.8,9,480.7,4601
401.1,5,8.9,6,370.2,2700
465.7,4,9.0,8,457.1,3128
744.9,7,4.5,11,666.0,5856
645.7,6,10.2,17,555.8,4924
465.3,2,8.1,10,353.6,3042
470.1,5,6.7,10,500.6,3292
630.3,3,7.8,14,450.4,4702
268.6,2,3.6,9,256.4,1518
479.4,3,8.4,8,310.7,3266
458.1,7,5.2,8,518.0,3101
390.5,1,4.5,11,216.8,2535
124.0,2,4.2,4,92.3,679
569.0,5,9.9,7,553.8,4051
451.1,2,6.1,10,372.8,2995
541.9,2,10.9,13,444.6,3921
387.0,2,6.3,10,336.4,2659
689.4,6,3.7,14,564.5,5272
388.7,2,5.0,8,289.1,2589
591.9,3,10.2,11,500.7,4397
328.1,1,7.2,7,241.5,2003
696.3,7,6.3,15,680.4,5367
589.2,4,7.9,10,459.0,4322
288.6,2,8.6,7,339.5,1795
411.6,5,10.0,10,454.4,2867
417.3,2,10.7,6,370.1,2827
503.8,5,6.7,7,384.0,3557
394.9,3,4.6,8,278.4,2491
421.3,5,6.6,9,406.8,2775
284.4,4,8.1,7,350.7,1669
336.8,1,5.4,6,330.7,2102
760.8,5,5.4,15,575.3,5973
695.0,5,8.3,14,647.2,5440
150.7,1,7.4,2,134.8,771
677.9,4,7.6,8,416.2,5182
249.7,2,5.8,9,231.8,1533
479.3,5,7.0,9,420.6,3138
172.4,1,5.5,5,152.9,1117
454.0,3,9.5,10,493.4,3092
234.7,1,9.8,3,235.2,1260
432.2,3,3.4,9,363.7,2866
437.1,4,5.5,7,395.4,2910
338.2,2,4.2,5,352.4,2067
207.2,1,6.1,6,144.9,1271
749.6,7,7.3,11,648.0,5941
656.6,7,4.3,16,647.6,5002
629.4,6,5.5,13,471.0,4745
433.4,5,5.3,13,531.6,2904
447.4,4,8.0,11,473.7,3170
303.6,1,7.7,9,278.2,1751
631.5,7,5.9,15,556.1,4760
479.4,5,7.9,10,447.5,3305
636.4,7,6.3,15,700.0,4860
249.7,1,6.9,7,253.3,1427
521.9,3,11.2,9,487.3,3593
287.0,1,10.4,6,261.6,1769
457.2,6,4.6,11,442.6,3106
303.7,1,9.3,4,320.4,1950
255.8,1,9.3,2,161.9,1434
577.0,6,5.0,17,540.7,4304
518.0,4,9.3,7,433.3,3808
276.2,1,10.9,4,295.0,1657
599.4,6,5.0,11,482.7,4314
598.5,5,5.5,14,513.4,4391
535.7,3,9.7,8,444.4,3826
486.5,3,8.1,12,465.2,3413
350.5,1,8.7,4,195.6,2179
475.3,4,8.2,11,444.9,3386
577.4,4,8.4,8,492.2,4135
687.1,5,4.6,17,560.7,5164
210.2,1,9.8,3,182.0,1325
510.1,3,10.1,9,443.6,3428
488.9,4,7.0,12,341.1,3365
295.0,1,7.4,7,264.9,1996
732.3,7,4.1,14,661.7,5701
482.2,4,8.6,10,403.2,3254
672.6,6,8.8,13,537.8,5167
742.5,7,7.4,14,657.6,5835
449.2,4,10.0,12,418.7,3102
396.1,3,6.8,14,390.0,2676
355.9,2,8.7,6,352.2,2204
485.7,7,5.3,11,506.7,3444
603.8,5,7.4,11,478.1,4493
723.6,5,7.1,18,610.0,5728
265.3,3,8.0,6,374.1,1548
576.0,4,6.7,14,483.0,4306
357.7,1,7.2,10,276.1,2280
415.7,4,9.3,9,476.1,2810
523.1,3,6.5,10,365.9,3611
605.5,5,4.0,16,513.6,4411
521.8,4,11.3,9,465.0,3764
667.5,5,10.5,11,536.7,5100
720.6,7,4.7,13,500.4,5529
243.5,1,9.0,3,241.4,1403
703.4,7,6.4,13,541.5,5491
464.4,5,8.1,8,405.2,3124
467.4,5,8.1,12,529.9,3209
371.8,2,7.0,5,287.4,2381
300.0,2,5.8,8,333.0,1663
593.7,7,6.0,11,530.9,4258
531.8,6,5.5,14,559.2,3796
800.0,7,5.7,17,651.4,6343
289.8,2,7.4,2,270.8,1789
549.3,5,5.9,12,430.2,4003
601.8,3,9.0,12,449.2,4532
